,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
0,Jupiter Attack,Best Arcade Shooting Game,RED SPRITE STUDIOS PTY LTD,#16 in Casual,4+,4.6,$1.99,110 Ratings,Offers In-App Purchases,32.1 MB,,,,,,
1,Crazy Kick‪!‬,"Dribble, shoot and score‪!‬",Voodoo,#20 in Sports,12+,4.7,Free,449.2K Ratings,Offers In-App Purchases,575.1 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Simulated Gambling,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Realistic Violence
2,Get the Supercar 3D,,SUPERSONIC STUDIOS LTD,#59 in Action,12+,4.6,Free,15.8K Ratings,Offers In-App Purchases,235 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
3,slither.io,Multiplayer slithering game,Lowtech Studios LLC,#45 in Action,4+,4,Free,213.7K Ratings,Offers In-App Purchases,26.1 MB,,,,,,
4,Rec Room: Play with Friends,"Chat & Build, Online VR Game",Rec Room Inc,#11 in Adventure,9+,4.8,Free,510.2K Ratings,Offers In-App Purchases,2.7 GB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
5,Mario Kart Tour,Race around the world‪!‬,"Nintendo Co., Ltd.",#4 in Racing,4+,4.7,Free,1M Ratings,Offers In-App Purchases,227.7 MB,,,,,,
6,Alien: Isolation,Run. Hide. Survive‪.‬,Feral Interactive Ltd,#73 in Adventure,17+,4.6,$14.99,275 Ratings,Offers In-App Purchases,2 GB,Frequent/Intense Profanity or Crude Humor,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Frequent/Intense Realistic Violence,Frequent/Intense Horror/Fear Themes,Infrequent/Mild Mature/Suggestive Themes,
7,Monster Demolition - Giants 3D,Take them all down‪!‬,SayGames LTD,#5 in Racing,12+,4.7,Free,18.4K Ratings,Offers In-App Purchases,413.2 MB,Infrequent/Mild Sexual Content and Nudity,,,,,
8,Mindustry,A factory management TD/RTS,Anton Kramskoi,#63 in Action,9+,4.6,$1.99,720 Ratings,Offers In-App Purchases,171.1 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
9,Five Nights at Freddy's 4,What have you brought home,CLICKTEAM L.L.C.,#9 in Action,12+,4.6,$2.99,9.7K Ratings,,56.4 MB,Frequent/Intense Horror/Fear Themes,Frequent/Intense Cartoon or Fantasy Violence,,,,
